show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s0138,TV Show,Modern Families,,"Jordan Smith, Thomas Singh, Emily Moore",Spain,"September 13, 2022",2021,TV-Y7,6 Seasons,"Kids' TV, Sci-Fi & Fantasy, British TV Shows",A group of strangers discovers a secret that changes their lives forever.
s0139,Movie,Parallel Lives,Lucas Miller,"Emily Moore, Ravi Moore, Alex Martin, Mia Johnson",Australia,"February 02, 2019",1991,TV-PG,174 min,Horror Movies,A group of strangers discovers a secret that changes their lives forever.
s0140,TV Show,Daily Dose,Kiran Johnson,Emma Lee,"United States, Germany","March 19, 2019",1996,TV-Y,2 Seasons,"Children & Family Movies, Comedy","An ambitious journey filled with mystery, humor, and unforgettable moments."
s0141,Movie,The Long Road Home,Robert Martinez,"Emily Anderson, Jordan Davis, Robert Singh, Emma Moore","Spain, Brazil","October 04, 2019",2008,TV-PG,100 min,"Stand-Up Comedy, Crime TV Shows, Horror Movies",A group of strangers discovers a secret that changes their lives forever.
s0142,TV Show,Inside the Case,,"James Smith, Ananya Kumar","Brazil, United Kingdom","October 06, 2023",1995,TV-14,1 Season,"Stand-Up Comedy, Action & Adventure","An ambitious journey filled with mystery, humor, and unforgettable moments."
s0143,Movie,Parallel Lives,Thomas Thomas,Robert Brown,Canada,"July 31, 2020",2020,NR,116 min,Sci-Fi & Fantasy,"An ambitious journey filled with mystery, humor, and unforgettable moments."
s0144,Movie,The Last Horizon 2017,Jordan Martinez,"Thomas Garcia, Sophia Taylor, Liam Jackson","United States, Japan","March 21, 2022",2002,NR,86 min,"Docuseries, British TV Shows","An ambitious journey filled with mystery, humor, and unforgettable moments."
s0145,Movie,Under the Stars,David Smith,"Sophia Miller, Thomas Martin","India, Mexico","May 27, 2020",2020,TV-PG,174 min,"Comedy, Crime TV Shows, Documentaries","A compelling story about friendship, family, and unexpected choices."
s0146,Movie,City of Shadows 2014,Noah Anderson,"Isabella Moore, Ethan Jones","Japan, Germany","June 27, 2026",2004,TV-PG,146 min,Horror Movies,"An ambitious journey filled with mystery, humor, and unforgettable moments."
s0147,Movie,Hidden Truth 2005,Lucas Miller,Arjun Brown,"Italy, Brazil","August 27, 2021",2001,PG,120 min,British TV Shows,A young protagonist must overcome difficult challenges to find a new beginning.
s0148,Movie,One More Day,Chris Martin,"Liam Sharma, William Sharma",Spain,"March 26, 2018",2003,PG,91 min,Reality TV,"When an unexpected event occurs, a determined group sets out to uncover the truth."
s0149,Movie,The Great Escape,Alex Martin,,"Brazil, Germany","May 01, 2021",2021,PG,174 min,Docuseries,"When an unexpected event occurs, a determined group sets out to uncover the truth."
s0150,Movie,Parallel Lives,,"Daniel Wilson, Sophia Brown, David Jones",,"January 09, 2021",1996,R,126 min,"Horror Movies, Stand-Up Comedy, International Movies","When an unexpected event occurs, a determined group sets out to uncover the truth."
s0151,Movie,A Second Chance,,"Robert Kim, Jordan Miller, Daniel Kumar, Kiran Davis","India, Australia","January 10, 2021",2018,PG-13,131 min,Action & Adventure,"An ambitious journey filled with mystery, humor, and unforgettable moments."
s0152,TV Show,After Midnight,,"David Martin, Ravi Singh",,"December 11, 2019",2019,TV-MA,3 Seasons,Action & Adventure,A group of strangers discovers a secret that changes their lives forever.
s0153,Movie,Hidden Truth 2011,Thomas Singh,,Japan,,2002,TV-14,160 min,Crime TV Shows,A young protagonist must overcome difficult challenges to find a new beginning.
s0154,Movie,The Forgotten Road,,"Sophia Miller, Sophia Johnson, David Taylor",,"February 03, 2025",2023,TV-14,164 min,Kids' TV,A young protagonist must overcome difficult challenges to find a new beginning.
s0155,Movie,The Long Road Home 2005,,"Ananya Jones, Maya Martinez, James Martin, Ethan Martin",Brazil,"June 21, 2025",2002,PG-13,119 min,"Horror Movies, British TV Shows, Thrillers","When an unexpected event occurs, a determined group sets out to uncover the truth."
s0156,Movie,Midnight Streets 2008,Ravi Patel,"Ethan Williams, Noah Johnson","South Korea, Mexico, India","July 12, 2026",2014,TV-MA,127 min,"Sci-Fi & Fantasy, Stand-Up Comedy, Children & Family Movies",A group of strangers discovers a secret that changes their lives forever.
s0157,Movie,Summer Dreams,Thomas Kumar,"Ananya Davis, Mia Thomas",Canada,"September 18, 2022",2016,TV-MA,135 min,Sci-Fi & Fantasy,"An ambitious journey filled with mystery, humor, and unforgettable moments."
s0158,Movie,Parallel Lives,,"Chris Anderson, James Anderson, Daniel Taylor",United Kingdom,"November 27, 2025",2017,PG,82 min,Anime Series,"A compelling story about friendship, family, and unexpected choices."
s0159,Movie,A Second Chance,Lucas Williams,"Daniel Patel, Robert Patel, Ananya Sharma, Noah Kim",Germany,"April 09, 2022",1999,G,126 min,"Kids' TV, Reality TV",A group of strangers discovers a secret that changes their lives forever.
s0160,Movie,The Forgotten Road 2001,Sophia Anderson,Maya Patel,Germany,"September 15, 2023",2019,PG-13,143 min,International Movies,"An ambitious journey filled with mystery, humor, and unforgettable moments."
s0161,TV Show,After Midnight,,Grace Patel,United Kingdom,"February 20, 2021",2008,TV-PG,1 Season,Stand-Up Comedy,"A powerful story exploring relationships, identity, and the search for belonging."
s0162,TV Show,The Detectives,,"Priya Davis, Sophia Brown, Maya Jackson, Alex Garcia","Japan, Italy","March 02, 2025",2009,TV-G,2 Seasons,Stand-Up Comedy,"A powerful story exploring relationships, identity, and the search for belonging."
s0163,TV Show,The Next Chapter,,,Mexico,"May 03, 2026",2014,TV-MA,2 Seasons,Anime Series,"When an unexpected event occurs, a determined group sets out to uncover the truth."
s0164,TV Show,The Academy,Emma Miller,"William Smith, Noah Jones, Noah Smith, Ava Patel",Spain,"June 16, 2018",2018,TV-Y,6 Seasons,"British TV Shows, Drama",A young protagonist must overcome difficult challenges to find a new beginning.
s0165,Movie,The Long Road Home,Lucas Lee,"James Moore, Michael Jackson","United Kingdom, Australia","February 13, 2020",2011,TV-PG,100 min,Kids' TV,"A powerful story exploring relationships, identity, and the search for belonging."
s0166,Movie,A Second Chance,,Jordan Jones,"Japan, Spain","November 29, 2018",2001,PG-13,129 min,"Horror Movies, Comedy, Docuseries",A group of strangers discovers a secret that changes their lives forever.
s0167,Movie,Hidden Truth 2009,,"Olivia Brown, Kiran Martin, Emily Wilson, Ravi Garcia",Canada,"May 21, 2026",1995,R,89 min,"Anime Series, Reality TV","When an unexpected event occurs, a determined group sets out to uncover the truth."
s0168,Movie,The Forgotten Road,Ananya Sharma,Noah Jones,"Canada, Australia, Italy","August 16, 2025",1992,PG-13,143 min,Children & Family Movies,A young protagonist must overcome difficult challenges to find a new beginning.
s0169,TV Show,City Stories 2020,,Lucas Patel,"Japan, United Kingdom, Mexico","November 18, 2025",2025,TV-14,3 Seasons,International Movies,A group of strangers discovers a secret that changes their lives forever.
s0170,Movie,Under the Stars,Ravi Kumar,"Ethan Brown, Thomas Anderson","Brazil, Canada","September 05, 2019",2019,NR,173 min,"International Movies, Sci-Fi & Fantasy","When an unexpected event occurs, a determined group sets out to uncover the truth."
s0171,Movie,Under the Stars,,"Ravi Anderson, Emily Jackson, Robert Brown",France,"November 01, 2025",1996,NR,81 min,Kids' TV,"A compelling story about friendship, family, and unexpected choices."
s0172,Movie,Parallel Lives,,"Lucas Kumar, David Chen, Ananya Singh, Emma Johnson","India, United States","April 10, 2024",2004,TV-14,156 min,"Drama, Horror Movies, British TV Shows",A group of strangers discovers a secret that changes their lives forever.
s0173,Movie,A Second Chance,,"Emily Sharma, Emma Johnson, David Kim",Italy,"April 04, 2026",2022,G,173 min,Crime TV Shows,"A powerful story exploring relationships, identity, and the search for belonging."
s0174,Movie,Lost in Time,Mia Moore,"Mia Kumar, Kiran Wilson",United States,"August 23, 2024",2017,R,168 min,Thrillers,"A powerful story exploring relationships, identity, and the search for belonging."
s0175,Movie,Midnight Streets 2004,James Lee,"Thomas Singh, Ravi Taylor","Australia, United Kingdom","August 10, 2024",1996,NR,104 min,"Comedy, Drama",A young protagonist must overcome difficult challenges to find a new beginning.
s0176,Movie,The Great Escape,,"Kiran Smith, Ava Davis",France,"March 08, 2023",1997,TV-MA,113 min,Thrillers,"An ambitious journey filled with mystery, humor, and unforgettable moments."
s0177,Movie,The Final Journey,,"Emily Smith, Ava Jackson, Ethan Kim",Australia,"August 27, 2025",2004,TV-PG,106 min,Reality TV,"A powerful story exploring relationships, identity, and the search for belonging."
s0178,Movie,The Silent House,Arjun Singh,"David Thomas, Maya Brown, Ethan Patel, James Kim",Japan,"December 02, 2025",2024,TV-14,84 min,Reality TV,A young protagonist must overcome difficult challenges to find a new beginning.
s0179,Movie,Lost in Time,,"Ravi Thomas, Lucas Jones, Sophia Thomas, Priya Singh","South Korea, Mexico","October 31, 2022",2020,TV-14,180 min,Comedy,"A powerful story exploring relationships, identity, and the search for belonging."
s0180,Movie,Echoes of Tomorrow,,"David Moore, Emma Garcia, Michael Johnson, David Kim",Australia,"September 01, 2020",2007,TV-14,160 min,British TV Shows,"When an unexpected event occurs, a determined group sets out to uncover the truth."
s0181,Movie,The Forgotten Road 2005,Priya Moore,Olivia Moore,Italy,"December 12, 2021",2009,NR,84 min,"British TV Shows, Thrillers","A powerful story exploring relationships, identity, and the search for belonging."
s0182,Movie,The Long Road Home,Maya Anderson,James Anderson,"Italy, Australia","November 07, 2018",2013,TV-MA,174 min,"Kids' TV, Documentaries","An ambitious journey filled with mystery, humor, and unforgettable moments."
s0183,Movie,Hidden Truth,Daniel Martin,"Ravi Miller, Priya Miller","South Korea, Canada","April 20, 2026",2000,R,137 min,Sci-Fi & Fantasy,A young protagonist must overcome difficult challenges to find a new beginning.
s0184,Movie,The Long Road Home,Kiran Miller,"Ethan Martinez, Sophia Kim","France, Brazil",,1994,TV-PG,131 min,"Reality TV, Kids' TV","When an unexpected event occurs, a determined group sets out to uncover the truth."
s0185,Movie,The Long Road Home,Isabella Jackson,"Olivia Thomas, Emily Wilson, Emily Martinez, Priya Chen",Mexico,"August 22, 2023",2003,TV-14,95 min,Reality TV,"An ambitious journey filled with mystery, humor, and unforgettable moments."
s0186,TV Show,The Family House 2024,,"Alex Martin, Grace Taylor, Ravi Taylor",France,"May 07, 2022",2022,TV-G,8 Seasons,Action & Adventure,"When an unexpected event occurs, a determined group sets out to uncover the truth."
s0187,Movie,The Forgotten Road,Michael Thomas,,"United Kingdom, South Korea","March 29, 2018",2010,TV-14,105 min,"Kids' TV, Docuseries, Sci-Fi & Fantasy","A powerful story exploring relationships, identity, and the search for belonging."
s0188,Movie,Midnight Streets,Mia Smith,"William Kim, Jordan Jackson, Emily Smith","Germany, Brazil","November 04, 2018",1996,TV-14,154 min,Thrillers,A young protagonist must overcome difficult challenges to find a new beginning.
s0189,Movie,Echoes of Tomorrow,Emma Miller,"Arjun Johnson, Isabella Smith, Ravi Singh",Spain,"September 13, 2025",2007,PG,150 min,Crime TV Shows,A group of strangers discovers a secret that changes their lives forever.
s0190,Movie,One More Day,Priya Jones,"Lucas Moore, Isabella Singh, Robert Davis, Thomas Jones",,"March 22, 2019",1993,PG-13,89 min,Kids' TV,"A powerful story exploring relationships, identity, and the search for belonging."
s0191,Movie,Beyond the River,Ethan Anderson,"Emily Thomas, Ethan Patel","Brazil, Spain, United Kingdom","July 20, 2025",1994,TV-PG,134 min,"Thrillers, Romantic Movies, Horror Movies","A compelling story about friendship, family, and unexpected choices."
s0192,Movie,Into the Wild,,"Thomas Chen, Daniel Davis, Mia Brown",Mexico,"May 27, 2020",2019,PG,148 min,"British TV Shows, Anime Series","A compelling story about friendship, family, and unexpected choices."
s0193,Movie,The Forgotten Road,,"Maya Brown, Michael Anderson",South Korea,"July 18, 2023",1990,TV-14,154 min,Kids' TV,"An ambitious journey filled with mystery, humor, and unforgettable moments."
s0194,Movie,City of Shadows,Grace Garcia,"Mia Thomas, Ethan Wilson, Daniel Moore",Germany,"December 12, 2020",2020,TV-PG,141 min,"Romantic Movies, Comedy, Children & Family Movies","A powerful story exploring relationships, identity, and the search for belonging."
s0195,TV Show,The Family House,,Emma Wilson,"Canada, Mexico","November 02, 2024",2005,TV-14,3 Seasons,"Crime TV Shows, Anime Series","An ambitious journey filled with mystery, humor, and unforgettable moments."
s0196,Movie,The Forgotten Road,Lucas Smith,"Michael Davis, Lucas Jackson","Germany, Japan, United Kingdom","July 15, 2025",2004,PG-13,123 min,"Kids' TV, Documentaries, Children & Family Movies","A compelling story about friendship, family, and unexpected choices."
s0197,Movie,The Forgotten Road,Noah Lee,"William Anderson, Daniel Garcia, William Martin, Olivia Thomas",South Korea,"November 14, 2022",2022,TV-MA,79 min,Kids' TV,A young protagonist must overcome difficult challenges to find a new beginning.
s0198,Movie,The Forgotten Road,Grace Williams,,Italy,"October 17, 2022",2022,G,138 min,Stand-Up Comedy,"A compelling story about friendship, family, and unexpected choices."
s0199,Movie,The Long Road Home,Ethan Lee,"Ravi Taylor, Thomas Anderson, Isabella Miller",India,"November 20, 2020",2009,TV-MA,177 min,Sci-Fi & Fantasy,"A powerful story exploring relationships, identity, and the search for belonging."
s0200,Movie,Into the Wild,William Miller,Sophia Williams,Germany,"February 06, 2023",2020,TV-MA,142 min,"Sci-Fi & Fantasy, Action & Adventure, Thrillers","A compelling story about friendship, family, and unexpected choices."
s0201,TV Show,Code Breakers 2020,,"Arjun Martin, Kiran Jackson, Arjun Kumar","France, Italy","December 10, 2023",2016,TV-14,3 Seasons,Comedy,"A powerful story exploring relationships, identity, and the search for belonging."
s0202,Movie,Beyond the River,,"Ethan Miller, Arjun Johnson, Priya Chen",Australia,"May 07, 2021",2020,G,148 min,Thrillers,"An ambitious journey filled with mystery, humor, and unforgettable moments."
s0203,Movie,The Long Road Home,Ava Lee,"James Brown, Grace Jones, David Miller, Ava Smith",France,"November 19, 2025",2003,PG-13,145 min,Action & Adventure,"When an unexpected event occurs, a determined group sets out to uncover the truth."
s0204,Movie,The Long Road Home,,Ravi Martin,"Italy, Germany","February 07, 2018",2018,NR,110 min,Sci-Fi & Fantasy,"A compelling story about friendship, family, and unexpected choices."
s0205,TV Show,The Academy,,"Emma Chen, Ethan Davis, Arjun Kim, Isabella Johnson",South Korea,"February 21, 2019",2004,TV-Y,8 Seasons,Romantic Movies,"A compelling story about friendship, family, and unexpected choices."
s0206,Movie,One More Day,Ananya Kim,"Isabella Martinez, Ravi Brown, Noah Sharma, Sophia Kim","Spain, United States","October 06, 2019",2019,PG-13,168 min,Comedy,"An ambitious journey filled with mystery, humor, and unforgettable moments."
s0207,TV Show,The Academy,,"Isabella Jackson, Ava Jackson, Kiran Martinez",Italy,"January 22, 2026",1996,TV-14,4 Seasons,"Thrillers, Action & Adventure, Reality TV","A compelling story about friendship, family, and unexpected choices."
s0208,Movie,The Long Road Home,Maya Kim,"Liam Garcia, Noah Martinez, Daniel Lee, Emily Moore",Japan,"March 10, 2022",1993,R,169 min,Horror Movies,"An ambitious journey filled with mystery, humor, and unforgettable moments."
s0209,Movie,Into the Wild,Michael Jones,Lucas Singh,Mexico,"November 15, 2022",1992,PG-13,75 min,Horror Movies,A young protagonist must overcome difficult challenges to find a new beginning.
s0210,Movie,Broken Promises,Olivia Chen,"Grace Martinez, James Smith, Chris Sharma, Kiran Wilson","Brazil, France","May 22, 2024",2012,G,176 min,Children & Family Movies,"When an unexpected event occurs, a determined group sets out to uncover the truth."
s0211,Movie,The Last Horizon,Lucas Smith,"James Patel, Liam Singh","United Kingdom, Japan","August 04, 2022",2013,TV-MA,78 min,"Romantic Movies, Thrillers, Drama","A powerful story exploring relationships, identity, and the search for belonging."
s0212,TV Show,The Travelers,,"Emma Wilson, Priya Davis, Kiran Kim, Jordan Singh",Japan,"January 16, 2019",2019,TV-14,5 Seasons,"Romantic Movies, Children & Family Movies","When an unexpected event occurs, a determined group sets out to uncover the truth."
s0213,Movie,The Forgotten Road,,"Noah Kumar, Grace Martinez, Alex Lee, Grace Miller",South Korea,"September 15, 2022",1994,PG-13,154 min,Anime Series,"An ambitious journey filled with mystery, humor, and unforgettable moments."
s0214,Movie,Under the Stars,David Kim,"Grace Martin, Maya Kim",,"September 25, 2020",2012,NR,163 min,Action & Adventure,"A powerful story exploring relationships, identity, and the search for belonging."
s0215,Movie,The Long Road Home,Daniel Sharma,Ava Martin,India,"February 07, 2026",1999,TV-14,161 min,Thrillers,A young protagonist must overcome difficult challenges to find a new beginning.
s0216,Movie,The Last Horizon 2002,,,Italy,"February 21, 2020",2016,TV-PG,103 min,"Reality TV, Comedy","When an unexpected event occurs, a determined group sets out to uncover the truth."
s0217,Movie,Under the Stars,,"Noah Wilson, Mia Patel, Olivia Jones",Australia,"August 25, 2019",2010,TV-PG,169 min,"Anime Series, Action & Adventure, Stand-Up Comedy",A group of strangers discovers a secret that changes their lives forever.
s0218,Movie,Into the Wild 2011,Thomas Smith,,"Spain, France","November 11, 2020",2018,PG,135 min,Kids' TV,"An ambitious journey filled with mystery, humor, and unforgettable moments."
s0219,Movie,A Second Chance,,,Italy,"June 30, 2024",2001,TV-14,140 min,"Thrillers, Kids' TV, Stand-Up Comedy",A young protagonist must overcome difficult challenges to find a new beginning.
s0220,Movie,The Silent House,,"William Williams, Ravi Martin",Canada,"January 17, 2019",2006,R,133 min,"Crime TV Shows, Horror Movies","An ambitious journey filled with mystery, humor, and unforgettable moments."
s0221,TV Show,Modern Families,,"Ava Jackson, Grace Patel",,"July 01, 2020",1992,TV-PG,1 Season,"Action & Adventure, Crime TV Shows","An ambitious journey filled with mystery, humor, and unforgettable moments."
s0222,Movie,Hidden Truth,Lucas Williams,"Maya Lee, Isabella Thomas, Arjun Davis",India,"December 03, 2021",2013,TV-PG,105 min,Comedy,"A compelling story about friendship, family, and unexpected choices."
s0223,TV Show,Young Hearts,,"Thomas Kim, William Taylor, Emily Sharma, Emily Moore","Australia, Italy, Spain","January 08, 2024",2005,TV-PG,1 Season,Crime TV Shows,A group of strangers discovers a secret that changes their lives forever.
s0224,TV Show,The New Generation,Isabella Johnson,"Chris Williams, Ananya Wilson, Ethan Anderson","South Korea, India, United States","January 01, 2022",2002,TV-MA,1 Season,Reality TV,"A compelling story about friendship, family, and unexpected choices."
s0225,TV Show,Beyond Borders,,"Lucas Anderson, Olivia Martinez, Thomas Anderson",Mexico,"January 28, 2026",1997,TV-Y7,3 Seasons,"Anime Series, Romantic Movies","An ambitious journey filled with mystery, humor, and unforgettable moments."
s0226,Movie,The Silent House,Robert Miller,"Sophia Smith, Noah Davis, Robert Brown, Chris Kim",Italy,"January 29, 2023",2021,TV-PG,158 min,"British TV Shows, Romantic Movies","An ambitious journey filled with mystery, humor, and unforgettable moments."
s0227,TV Show,Worlds Apart,,"David Thomas, Arjun Williams, Ethan Anderson, Kiran Smith",Japan,"July 27, 2018",2002,TV-Y,1 Season,"Kids' TV, Children & Family Movies","An ambitious journey filled with mystery, humor, and unforgettable moments."
s0228,TV Show,The New Generation,,Olivia Johnson,"Japan, Germany","October 09, 2021",2021,TV-Y,10 Seasons,"Children & Family Movies, Horror Movies","An ambitious journey filled with mystery, humor, and unforgettable moments."
s0229,Movie,City of Shadows,,,Italy,"January 07, 2026",2014,TV-14,167 min,British TV Shows,"A powerful story exploring relationships, identity, and the search for belonging."
s0230,Movie,Beyond the River,,"Sophia Patel, Emma Davis, Ananya Williams, Alex Kumar","India, Canada","July 22, 2025",2005,PG,102 min,"Documentaries, Stand-Up Comedy, Thrillers","A compelling story about friendship, family, and unexpected choices."
s0231,Movie,Midnight Streets,,"Liam Jones, Daniel Kim",Mexico,,2018,PG,177 min,"Comedy, Romantic Movies","A powerful story exploring relationships, identity, and the search for belonging."
s0232,Movie,One More Day,,"Thomas Taylor, Daniel Patel, Thomas Singh","South Korea, Japan","October 05, 2022",2003,PG-13,143 min,"International Movies, Sci-Fi & Fantasy","A compelling story about friendship, family, and unexpected choices."
s0233,Movie,The Great Escape,,Olivia Kim,United Kingdom,"August 29, 2020",1994,TV-14,177 min,Anime Series,A group of strangers discovers a secret that changes their lives forever.
s0234,TV Show,Young Hearts,,,,"August 07, 2019",1993,TV-G,6 Seasons,"Stand-Up Comedy, Documentaries","When an unexpected event occurs, a determined group sets out to uncover the truth."
s0235,Movie,Lost in Time,Liam Jackson,Ava Kumar,"France, India","October 16, 2025",2020,R,108 min,"Stand-Up Comedy, Crime TV Shows","An ambitious journey filled with mystery, humor, and unforgettable moments."
s0236,Movie,The Great Escape 2016,Sophia Singh,"James Jones, Liam Kumar",India,"May 15, 2019",2018,TV-PG,92 min,"Documentaries, Drama","An ambitious journey filled with mystery, humor, and unforgettable moments."
s0237,Movie,Parallel Lives,Emma Patel,"Olivia Jackson, Alex Jackson",India,"March 03, 2020",2017,NR,82 min,"Comedy, Kids' TV","A compelling story about friendship, family, and unexpected choices."
s0238,TV Show,Young Hearts,,Sophia Taylor,,"November 22, 2024",2018,TV-Y,8 Seasons,"Sci-Fi & Fantasy, Children & Family Movies","A powerful story exploring relationships, identity, and the search for belonging."
s0239,Movie,Into the Wild,Robert Sharma,"Thomas Miller, Chris Moore, Isabella Martinez","Brazil, Germany, Mexico","March 19, 2026",2000,R,110 min,Horror Movies,"When an unexpected event occurs, a determined group sets out to uncover the truth."
s0240,TV Show,After Midnight,,"Mia Chen, Olivia Moore, Isabella Lee",South Korea,"December 11, 2020",2005,TV-Y7,2 Seasons,Sci-Fi & Fantasy,A group of strangers discovers a secret that changes their lives forever.
s0241,Movie,One More Day,,,Brazil,"October 30, 2019",2009,TV-MA,180 min,"Horror Movies, Romantic Movies, Drama",A group of strangers discovers a secret that changes their lives forever.
s0242,TV Show,After Midnight,Michael Davis,"David Moore, Ravi Lee, Mia Martinez, Alex Thomas","Canada, France","April 07, 2019",2008,TV-G,3 Seasons,"Documentaries, Docuseries","A powerful story exploring relationships, identity, and the search for belonging."
s0243,Movie,Lost in Time,,Daniel Garcia,"Canada, Japan","January 19, 2024",2003,PG-13,146 min,"Anime Series, Documentaries","When an unexpected event occurs, a determined group sets out to uncover the truth."
s0244,Movie,Parallel Lives,Thomas Williams,,Germany,"July 28, 2024",2023,TV-14,82 min,Sci-Fi & Fantasy,"A compelling story about friendship, family, and unexpected choices."
s0245,TV Show,The Detectives,,Emily Garcia,Australia,"March 29, 2020",2001,TV-MA,3 Seasons,"British TV Shows, Kids' TV",A group of strangers discovers a secret that changes their lives forever.
s0246,Movie,Parallel Lives,James Jackson,"James Lee, Liam Garcia, Ravi Thomas, Lucas Martinez",Germany,"September 08, 2020",2014,G,146 min,Kids' TV,"A powerful story exploring relationships, identity, and the search for belonging."
s0247,TV Show,Beyond Borders,,"Robert Davis, Olivia Miller, Grace Kim, Mia Wilson",Italy,"August 02, 2025",2018,TV-MA,3 Seasons,"Docuseries, Reality TV",A young protagonist must overcome difficult challenges to find a new beginning.
s0248,Movie,Lost in Time,,Priya Johnson,"United States, Spain","November 30, 2024",2002,TV-MA,154 min,"Crime TV Shows, Thrillers","A compelling story about friendship, family, and unexpected choices."
s0249,Movie,A Second Chance 2008,Lucas Martin,,"United States, Italy","August 31, 2021",2000,G,111 min,Stand-Up Comedy,A group of strangers discovers a secret that changes their lives forever.
s0250,Movie,Summer Dreams,Daniel Brown,Olivia Sharma,Mexico,"August 08, 2025",2020,TV-MA,163 min,"Drama, Docuseries","A compelling story about friendship, family, and unexpected choices."
s0251,TV Show,Code Breakers,David Chen,"Jordan Miller, David Jones, Daniel Johnson, Thomas Kim",Spain,"July 18, 2024",2018,TV-Y7,4 Seasons,Crime TV Shows,"An ambitious journey filled with mystery, humor, and unforgettable moments."
s0252,Movie,The Long Road Home,Maya Patel,,,"December 12, 2025",1993,G,159 min,Romantic Movies,"A compelling story about friendship, family, and unexpected choices."
s0253,Movie,Midnight Streets,Isabella Sharma,,Brazil,"February 22, 2024",2023,G,144 min,Action & Adventure,"When an unexpected event occurs, a determined group sets out to uncover the truth."
s0254,TV Show,Young Hearts,,"Kiran Patel, Isabella Wilson, James Davis",,"December 05, 2019",2013,TV-Y,3 Seasons,Sci-Fi & Fantasy,A group of strangers discovers a secret that changes their lives forever.
s0255,Movie,The Silent House,Noah Miller,"Jordan Davis, Kiran Williams, James Anderson, Maya Davis",Australia,"March 19, 2021",2012,TV-14,117 min,Stand-Up Comedy,"A compelling story about friendship, family, and unexpected choices."
s0256,TV Show,Modern Families,,"Chris Anderson, Grace Martinez",South Korea,"September 10, 2025",1999,TV-G,3 Seasons,Sci-Fi & Fantasy,"A powerful story exploring relationships, identity, and the search for belonging."
s0257,TV Show,The New Generation,,"Michael Jones, Ravi Lee, Noah Patel, Robert Martin",Australia,"March 26, 2024",2006,TV-PG,3 Seasons,"Docuseries, Anime Series","A compelling story about friendship, family, and unexpected choices."
s0258,Movie,City of Shadows 2012,Noah Martin,Sophia Williams,"United States, Japan, France","December 11, 2024",1999,NR,136 min,"Stand-Up Comedy, Kids' TV","When an unexpected event occurs, a determined group sets out to uncover the truth."
s0259,TV Show,Young Hearts,,Mia Jones,,"March 23, 2026",2020,TV-Y7,3 Seasons,"Stand-Up Comedy, Romantic Movies, Sci-Fi & Fantasy",A young protagonist must overcome difficult challenges to find a new beginning.
s0260,Movie,The Great Escape,David Singh,"Chris Patel, Priya Patel",India,"December 06, 2024",2018,R,164 min,Anime Series,A group of strangers discovers a secret that changes their lives forever.
s0261,Movie,Echoes of Tomorrow,,"Arjun Sharma, Robert Martin, Ananya Garcia","Mexico, India, France","November 24, 2019",2013,TV-14,87 min,"Anime Series, Kids' TV, Sci-Fi & Fantasy","An ambitious journey filled with mystery, humor, and unforgettable moments."
s0262,Movie,Under the Stars,James Kumar,"Emma Wilson, Maya Smith, Ravi Martinez, Ravi Taylor","Italy, United Kingdom","July 20, 2026",2005,PG-13,144 min,"Romantic Movies, Action & Adventure","An ambitious journey filled with mystery, humor, and unforgettable moments."
s0263,Movie,Summer Dreams,Arjun Singh,"Liam Martinez, Chris Chen, Priya Kim","United States, South Korea","November 13, 2022",1999,NR,159 min,International Movies,"An ambitious journey filled with mystery, humor, and unforgettable moments."
s0264,TV Show,Hidden Lives 2016,,"Ethan Johnson, Chris Kumar",Spain,"May 14, 2026",2010,TV-Y,3 Seasons,Thrillers,"A powerful story exploring relationships, identity, and the search for belonging."
s0265,Movie,Parallel Lives,Lucas Kim,"Daniel Brown, Emily Taylor, Noah Martin, Daniel Jones",Spain,"August 18, 2020",2020,R,122 min,Anime Series,"When an unexpected event occurs, a determined group sets out to uncover the truth."
s0266,Movie,Summer Dreams,,,Mexico,"February 26, 2025",2007,TV-PG,154 min,Kids' TV,"An ambitious journey filled with mystery, humor, and unforgettable moments."
s0267,Movie,Echoes of Tomorrow,,"James Chen, Kiran Moore, Grace Jones, Maya Chen","United Kingdom, United States","April 02, 2021",2008,G,155 min,"Docuseries, Action & Adventure","An ambitious journey filled with mystery, humor, and unforgettable moments."
s0268,Movie,Echoes of Tomorrow,,Thomas Williams,United Kingdom,"July 31, 2020",2007,TV-14,104 min,"Action & Adventure, Docuseries","A powerful story exploring relationships, identity, and the search for belonging."
s0269,Movie,Beyond the River,,"Maya Thomas, Ananya Smith, Jordan Sharma, Chris Davis",Spain,"November 16, 2022",2013,NR,96 min,"Drama, British TV Shows","An ambitious journey filled with mystery, humor, and unforgettable moments."
s0270,Movie,Broken Promises,Michael Singh,"Michael Sharma, James Martinez, Chris Chen, Alex Wilson","Canada, United States","January 10, 2019",1991,PG-13,175 min,Romantic Movies,A group of strangers discovers a secret that changes their lives forever.
s0271,TV Show,The New Generation,,Michael Kumar,,"June 10, 2020",2009,TV-Y7,4 Seasons,Documentaries,"An ambitious journey filled with mystery, humor, and unforgettable moments."
s0272,Movie,Broken Promises,,"Daniel Miller, Daniel Thomas, Olivia Jackson","India, Germany","May 02, 2020",1995,PG,121 min,"Documentaries, Thrillers","A powerful story exploring relationships, identity, and the search for belonging."
